10  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
120  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
130  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
140  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
150  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
160  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
170  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
180  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
190  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
200  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
210  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
220  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
230  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
240  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
250  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
260  iterations done, current top 3 results are  [({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 20, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 50, 'ticker': 'PFIN'}, 1.0894936684179348, (1.893418231144813, 0.13719512195121958, 0.7083333333333335)), ({'atr_len': 11, 'macd_fastLen': 11, 'macd_slowLen': 32, 'macd_signalSmooth': 7, 'macd_peakLen': 3, 'gain_ratio': 1, 'loss_ratio': 2, 'peak2_len': 30, 'peak3_len': 40, 'ticker': 'PFIN'}, 1.0638974628772868, (1.8279883493522526, 0.1276595744680852, 0.7272727272727273))]
